,Raga,Arohanam,Avarohanam
252,Kshanika,S G2 M1 P D1 S,S D1 P M1 G2 S
253,Manji,S R2 G2 M1 P D2 N2 S,S N2 D1 P M1 P M1 P G2 R2 S
254,Mahati cf. Mela 28&43 (Mahathi),S G2 P D1 N2 S,S N2 P G2 R2 S
255,Malkosh,S G2 M1 D1 N2 S,S N2 D1 M1 G2 S
256,mArgahindOLaM,S R2 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 S
257,Nagagandhari,S R2 M1 G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R2 S
258,Navarathna Vilasam,S R2 G2 M1 P D1 P S,S D1 P M1 G2 M1 R2 S
259,Nilamati,S G2 M1 P D1 N2 S,S N2 D1 M1 G2 S
260,Nilaveni,S R2 G2 M1 P D1 N2 D1 S,S D1 P M1 G2 R2 S
261,Poornashadjam,S R2 G2 M1 N2 N2 S,S N2 P M1 G2 R2 S
261,Poornashadjam,S R2 G2 M1 N2 S,S N2 P M1 G2 R2 S
262,Rajarajeshwari,S R2 M1 P D1 S,S N2 D1 P M1 G2 R2 S
263,Saramati,S R2 G2 M1 P D1 N2 S,S N2 D1 M1 G2 S
264,Saranga Kapi,S R1 P M1 R1 P R1 M1 P N2 S,S N2 D1 P M1 G2 R1 S
265,Sharadapriya,S R2 G2 P N2 S,S N2 P G2 R2 S
266,Shree Navarasachandrika,S R2 G2 M1 P D1 S,S D1 P M1 G2 R2 S
267,Sindhu Dhanyasi,S G2 M1 P N2 S,S N2 D1 M1 P M1 G2 R2 S
268,Shuddha Desi,S R2 G2 R2 M1 P D1 N2 S,S N2 D1 P M1 G2 R2 S
269,Shuddha Salavi,S G2 M1 P N2 S,S N2 P M1 R2 S
270,Sukumari,S G2 M1 P N2 D1 N2 S,S N2 P M1 G2 M1 R2 S
271,Sushama,S R2 M1 P D1 S,S D1 P M1 R2 S
272,Sutradhari,(Also 27) S R2 M1 P D1 S,S D1 P M1 R2 S
273,Tarkshika,S R2 M1 P N2 S,S N2 D1 P M1 R2 G2 R2 S
274,Udayaraga,S G2 M1 P N2 S,S N2 P M1 G2 S
275,Vasantavarali,S R2 M1 P D1 S,S N2 D1 P G2 R2 S
276,21 Keeravani,S R2 G2 M1 P D1 N3 S,S N3 D1 P M1 G2 R2 S
277,Keeranavali,S R2 G2 M1 P D1 N3 S,S P M1 G2 R2 S
278,Aymmukhan,S G2 M1 P D1 N3 S,S N3 D1 P M1 G2 S
279,Bhanupriya,S R2 G2 D1 N3 S,S N3 D1 G2 R2 S
280,Chandrika,S R2 G2 P D1 N3 S,S N3 D1 P G2 R2 S
281,Gaganabhoopalam,S M1 G2 M1 P D1 N3,S N3 D1 M1 G2 R2 S
282,Hamsapancama,S G2 M1 P N3 D1 N3 P S,S N3 D1 M1 G2 R2 S
283,Hamsavahini,S R2 M1 P D1 N3 S,S N3 D1 P M1 R2 S
284,Jayashree,S R2 G2 M1 P D1 N3 D1 S,S N3 D1 P M1 G2 R2 S
285,"Kadaram (Chandrakosh, Chandrakauns, Chandrakaush)",S G2 M1 D1 N3 S,S N3 D1 M1 G2 S
286,Kalyana Vasantam,S G2 M1 D1 N3 S,S N3 D1 P M1 G2 R2 S
287,Kusumavali,S G2 M1 P D1 S,S N3 D1 P M1 G2 M1 R1 S
288,Madhavi,S M1 G2 M1 P D1 N3 S,S N3 D1 P M1 S M1 G2 R1 S
289,Mishramanolayam,S R2 M1 P D1 S,S D2 D1 P M1 R2 S
290,Priyadarshani,S R2 M1 D1 N3 S,S N3 D1 M1 R2 S
291,Rishipriya,S R2 G2 M1 P D1 N3 S,S N3 P M1 G2 R2 S
292,Samapriya,S R2 M1 P D1 S,S D1 P M1 R2 S
293,Shrothasvini,S G2 M1 P N3 S,S N3 P M1 G2 S
